distancia_km,tiempo_min,altimetria_m,pulsaciones_prom,cadencia_rpm,nivel
53.22,129.8,427.8,151.1,87.7,1
64.26,78.2,404.4,149.6,78.6,2
98.06,192.7,1322.0,149.1,91.3,2
97.05,175.4,1091.9,140.8,89.5,2
28.5,149.0,467.6,152.6,78.2,0
70.61,93.2,457.8,145.1,91.7,2
23.09,106.5,203.5,156.0,57.9,0
100.16,145.6,1485.9,140.4,89.5,2
66.59,142.1,441.5,148.2,72.4,1
45.2,141.8,442.7,148.8,82.3,1
35.3,81.1,124.4,149.5,72.7,1
66.68,150.3,725.2,138.8,71.3,1
26.36,106.7,96.5,131.8,66.4,0
86.72,142.7,587.1,148.8,81.6,2
58.0,111.5,339.0,160.1,81.3,1
96.8,160.3,1168.6,138.4,98.6,2
47.94,136.7,628.5,140.3,86.0,1
53.23,151.3,876.2,135.6,102.0,2
16.0,87.0,149.6,141.8,71.4,0
53.11,186.2,635.2,142.8,72.3,1
25.01,93.2,109.3,156.5,58.7,0
107.14,172.8,1063.3,137.8,88.7,2
71.66,73.5,250.6,135.1,71.8,2
26.63,61.8,103.3,143.9,79.0,1
28.88,74.5,144.6,155.3,59.4,0
46.26,126.9,558.7,135.2,85.0,1
31.51,71.2,164.1,157.5,78.2,1
16.94,101.9,131.4,158.3,55.0,0
40.1,119.6,657.9,131.0,85.3,1
38.04,88.0,703.6,146.7,79.3,1
112.49,189.1,1116.1,147.4,104.9,2
30.38,93.4,139.0,155.2,67.8,0
11.96,101.0,270.3,162.2,61.2,0
29.22,95.1,209.0,171.7,73.1,0
23.74,106.1,173.0,131.3,62.2,0
57.38,124.7,331.2,137.6,70.5,1
61.89,96.2,749.8,142.6,80.7,2
26.43,78.5,157.3,180.6,64.2,0
22.18,94.9,160.8,151.7,80.8,0
54.43,157.7,432.5,150.1,86.8,1
10.9,112.9,70.8,152.7,73.5,0
56.44,154.0,629.7,151.7,83.2,1
12.79,88.8,199.1,156.3,68.6,0
91.16,188.8,1370.4,138.2,92.2,2
13.76,100.0,87.5,167.8,62.9,0
26.08,118.9,161.8,165.3,53.1,0
70.71,207.6,1378.3,138.3,99.3,2
46.8,197.5,456.5,141.4,90.2,1
44.53,159.8,464.0,138.6,73.0,1
16.59,89.3,164.1,170.5,57.0,0
23.67,73.5,288.6,148.4,74.3,1
74.45,124.1,436.3,140.0,76.1,2
86.07,185.0,1106.7,129.8,96.8,2
33.39,79.0,188.0,157.0,52.9,0
44.92,144.1,456.5,149.7,83.8,1
68.0,135.6,404.2,134.0,74.9,2
44.91,139.8,583.4,136.5,55.6,1
44.56,127.8,625.3,150.5,92.9,1
26.92,96.1,206.0,159.2,68.2,0
107.87,222.0,1492.3,147.7,95.9,2
22.04,73.3,108.6,159.9,68.3,0
59.8,144.8,505.6,134.1,85.2,1
72.94,145.3,532.0,141.8,83.8,2
25.38,102.2,161.2,150.5,66.6,0
22.1,93.5,41.4,164.7,61.2,0
97.3,173.2,1294.3,149.0,91.6,2
34.59,129.8,352.4,143.6,84.5,1
32.9,94.9,116.2,142.2,72.0,1
91.0,155.6,1171.4,142.4,84.6,2
38.28,89.1,164.6,152.6,67.8,1
25.59,85.4,207.0,151.6,69.0,0
24.77,96.9,177.4,160.7,68.6,0
78.0,199.7,1512.3,141.4,85.8,2
24.6,76.5,258.1,154.6,53.6,0
12.27,101.3,111.9,165.0,62.8,0
24.8,81.0,4.6,139.2,71.1,0
59.47,152.0,497.1,140.4,78.2,1
87.74,189.9,910.4,148.5,97.3,2
44.48,140.9,467.7,144.3,78.7,1
19.14,126.0,188.5,149.3,69.6,0
27.2,74.0,258.7,158.6,68.1,1
107.27,221.5,1066.2,147.2,93.2,2
59.82,194.6,455.7,146.6,72.8,1
85.47,189.3,1735.6,150.1,94.6,2
15.98,101.3,119.9,157.1,73.7,0
53.67,127.9,688.9,135.2,69.7,1
66.89,250.1,1173.7,150.5,82.2,1
48.13,176.9,665.6,140.0,82.8,1
58.89,132.7,301.9,144.6,78.9,1
67.75,168.7,291.2,142.1,72.2,1
109.53,152.6,1476.9,133.0,82.7,2
22.82,91.5,73.0,165.0,61.0,0
62.79,105.2,399.4,149.2,85.9,2
69.67,149.5,551.6,153.2,81.7,1
22.38,79.0,152.9,148.1,64.0,0
76.37,192.4,700.4,144.4,94.1,2
29.79,213.4,395.5,148.2,73.4,0
62.73,124.4,729.7,143.5,81.5,2
54.63,190.1,615.6,147.5,76.9,1
96.21,223.2,1496.8,142.5,85.1,2
45.74,147.4,620.6,143.0,82.4,1
72.22,133.9,615.7,154.5,71.4,1
107.99,209.1,1522.4,136.2,92.7,2
16.77,68.1,63.6,170.9,58.2,0
36.37,132.4,344.8,140.2,81.2,1
46.6,122.8,770.3,152.9,77.7,1
49.55,139.5,361.2,132.7,90.1,1
33.11,174.6,567.7,149.8,86.0,0
90.45,201.8,1152.8,141.9,91.8,2
17.4,70.2,83.8,156.8,76.1,0
37.12,105.5,113.8,139.1,63.9,1
53.09,142.6,339.9,140.2,82.2,1
71.77,138.1,430.5,145.5,83.3,2
56.67,141.2,504.9,139.4,75.4,1
68.79,132.5,467.0,151.0,85.2,2
19.39,84.1,224.9,148.3,67.2,0
81.67,109.1,562.9,139.1,77.5,2
28.63,90.9,141.2,164.6,82.7,0
36.68,56.3,168.9,155.0,68.3,2
45.73,181.9,433.6,149.6,91.4,1
16.19,75.8,114.8,153.0,58.9,0
95.6,197.0,811.0,140.3,97.0,2
40.93,109.2,583.4,160.6,78.2,1
38.81,101.2,154.6,160.4,57.6,0
17.68,91.6,245.0,151.9,75.5,0
73.14,157.2,1120.9,146.5,92.9,2
46.01,145.6,436.7,147.9,83.5,1
61.99,120.4,340.3,130.3,83.6,2
80.87,111.7,600.4,145.3,81.8,2
94.97,192.5,1175.3,144.4,90.3,2
105.23,208.0,1073.2,136.3,84.9,2
50.76,140.7,498.9,153.7,83.3,1
44.72,84.0,111.0,160.3,44.8,1
25.51,77.8,138.8,155.6,69.2,0
62.56,170.6,477.9,140.1,93.7,1
18.65,120.6,223.1,152.9,76.9,0
20.49,81.8,128.0,147.9,67.4,0
19.98,93.2,150.2,159.4,74.5,0
29.0,135.8,87.4,152.9,64.0,0
32.91,66.6,41.9,160.4,71.1,1
94.46,184.8,1102.1,137.9,97.2,2
18.63,60.4,161.0,154.8,69.6,0
9.32,131.2,78.4,154.6,74.3,0
44.65,105.7,306.4,156.8,78.5,1
115.56,156.4,800.2,135.2,91.5,2
66.06,158.6,535.9,155.4,90.9,1
15.47,91.3,155.3,172.2,63.2,0
25.72,82.7,161.1,141.5,57.2,0
30.44,113.2,122.9,150.6,67.3,0
82.26,219.9,1010.8,128.0,101.0,2
27.25,71.5,188.5,167.2,60.3,0
95.69,170.7,1432.0,138.4,93.6,2
63.95,154.8,397.6,147.9,83.9,1
23.32,69.1,32.0,175.6,56.2,0
86.29,180.1,1252.6,136.8,84.0,2
111.43,185.0,1270.6,136.3,101.6,2
110.99,212.0,940.3,141.5,94.0,2
95.55,202.0,1037.2,134.3,95.5,2
60.93,158.1,776.0,153.6,66.7,1
55.94,158.8,545.7,155.3,84.7,1
23.0,89.6,199.7,145.7,75.3,0
21.62,123.4,173.7,143.0,68.6,0
58.34,176.4,326.0,136.1,76.8,1
80.23,241.8,1100.1,139.6,97.6,2
75.17,121.2,640.0,140.4,81.3,2
44.97,125.9,522.1,157.3,94.0,1
74.57,163.9,425.0,151.6,80.0,1
35.5,86.6,122.8,162.0,72.6,1
45.08,214.0,1092.1,131.8,86.9,1
23.92,120.3,187.8,144.8,79.8,0
50.8,146.5,637.7,142.6,88.4,1
31.75,127.8,365.6,146.1,67.6,0
33.26,86.1,127.9,159.0,63.5,0
71.69,139.3,712.7,158.3,76.8,1
101.39,157.1,1298.8,134.0,94.1,2
25.97,88.0,137.8,146.2,58.4,0
79.87,162.3,1124.0,149.0,88.8,2
24.89,41.5,203.0,162.4,62.7,1
26.98,91.7,192.1,156.0,64.1,0
20.17,105.9,74.7,157.9,54.1,0
55.96,148.7,403.0,142.5,77.0,1
20.67,94.0,218.9,144.8,65.5,0
89.68,194.6,1294.9,150.7,91.5,2
45.05,150.9,608.5,126.1,72.9,1
46.47,141.8,667.7,145.5,75.5,1
93.94,170.6,1000.2,134.6,86.3,2
68.97,192.8,1109.9,141.6,93.9,2
94.43,216.5,1180.5,136.7,110.0,2
33.31,100.1,228.6,149.3,50.4,0
98.61,246.2,1470.0,134.9,99.7,2
73.06,193.5,1445.6,142.6,97.0,2
87.3,180.0,1099.1,131.3,94.5,2
46.17,145.1,523.0,146.9,83.6,1
55.07,113.4,551.4,143.5,86.9,2
25.26,84.7,257.6,157.2,58.6,0
105.74,195.1,1529.4,131.0,98.8,2
53.02,172.6,489.1,127.1,76.5,1
32.94,106.8,182.8,152.6,62.1,0
19.7,49.4,195.8,167.6,52.9,0
117.39,202.1,1194.0,131.7,93.9,2
69.34,112.0,451.8,149.2,76.4,2
64.33,143.2,732.7,137.0,75.3,2
33.23,63.7,193.4,161.7,55.3,1
110.02,210.2,1675.0,137.1,86.2,2
56.69,167.5,530.4,144.5,78.7,1
17.46,96.6,161.4,162.1,61.5,0
26.57,96.3,203.3,149.7,70.3,0
21.91,97.3,260.3,152.8,62.2,0
9.92,84.1,53.6,162.8,73.4,0
18.09,109.0,252.6,154.0,63.6,0
96.5,176.0,1016.6,138.3,94.1,2
34.31,109.5,180.1,156.9,73.0,0
33.28,122.8,676.9,142.2,86.2,1
57.76,180.3,657.8,158.1,85.2,1
17.28,90.6,134.6,131.0,68.4,0
56.72,141.1,703.4,140.0,81.4,1
21.48,45.8,136.8,134.3,68.6,1
15.08,91.6,62.5,151.9,59.0,0
103.64,271.9,1294.3,136.7,87.3,2
52.67,132.0,404.5,153.6,80.1,1
50.21,123.7,334.7,130.1,85.8,1
52.82,100.5,607.4,141.1,81.0,2
26.16,77.7,107.5,158.4,58.3,0
28.49,134.7,381.5,143.9,80.5,0
29.1,86.6,223.6,166.6,74.4,0
11.13,104.2,164.0,164.5,67.3,0
55.7,121.4,296.3,139.8,98.7,2
21.11,93.2,88.3,167.7,58.1,0
60.65,161.1,720.8,139.0,73.4,1
75.3,231.8,1137.5,140.0,93.6,2
62.25,169.2,741.1,146.2,101.5,2
64.35,112.7,450.7,136.2,78.5,2
77.64,177.1,1212.4,136.9,83.5,2
34.71,56.3,101.6,164.6,77.9,2
77.7,128.4,494.5,135.8,80.0,2
86.44,176.9,1172.6,137.4,89.8,2
10.57,82.9,144.4,157.3,66.9,0
111.27,186.8,1311.9,127.0,85.2,2
57.2,110.5,688.7,147.0,78.5,2
34.82,74.2,112.7,153.3,61.2,1
25.49,99.9,207.7,136.8,63.6,0
41.7,76.7,465.7,153.8,93.7,2
49.63,108.1,496.4,140.5,69.3,1
99.34,197.6,1316.9,145.6,92.6,2
22.11,95.6,110.1,163.7,64.0,0
73.89,223.8,1187.2,125.6,99.6,2
30.12,75.5,164.4,130.8,86.7,1
90.15,188.4,1271.4,141.6,95.9,2
68.99,134.9,483.8,153.0,96.3,2
98.46,189.4,1102.9,145.9,97.7,2
50.08,121.3,637.4,140.7,73.7,1
82.69,218.6,1328.3,143.1,95.1,2
60.06,125.2,583.7,154.5,84.1,1
60.4,139.3,394.2,143.7,74.8,1
52.71,126.3,512.8,143.9,80.2,1
29.87,90.0,101.0,161.6,72.5,0
23.71,75.8,90.1,147.4,72.0,0
83.66,214.9,1151.5,136.1,80.0,2
25.63,90.5,50.8,167.0,58.2,0
101.03,99.4,1246.0,150.6,99.4,2
16.16,105.6,200.6,160.6,66.9,0
71.44,149.8,438.9,144.8,67.6,1
27.68,71.1,112.4,155.2,72.6,1
16.74,106.5,98.0,148.4,62.6,0
63.74,127.8,623.3,139.7,78.9,2
112.01,201.7,1174.2,139.9,88.5,2
73.83,106.8,562.7,138.5,81.3,2
96.23,192.7,1249.3,133.7,90.1,2
87.11,194.2,1302.0,137.1,75.0,2
55.2,126.2,353.5,140.9,79.0,1
117.23,180.4,1100.8,141.4,89.8,2
132.87,210.1,932.0,127.1,96.9,2
35.2,106.2,214.5,141.3,77.4,1
18.91,83.4,186.2,149.6,63.7,0
11.05,92.4,58.5,143.7,63.3,0
23.33,200.3,594.2,144.8,78.2,0
131.32,196.5,1463.4,132.9,92.7,2
122.86,210.2,1348.0,135.5,88.6,2
32.85,75.2,20.3,157.6,72.9,1
70.67,195.2,1261.0,136.4,100.9,2
50.25,135.5,410.8,138.6,91.7,1
53.71,140.5,527.7,134.9,75.7,1
27.71,70.1,173.6,169.1,67.6,0
50.56,179.5,378.2,138.5,71.2,1
90.27,134.9,1282.5,142.3,85.5,2
92.2,141.8,1246.2,152.2,92.0,2
31.73,77.6,281.3,136.1,60.5,1
24.34,61.5,134.0,150.7,69.7,1
95.86,200.0,1094.1,126.7,87.7,2
56.88,150.6,502.3,139.9,83.4,1
43.46,160.8,667.1,154.4,81.6,1
73.34,180.6,1199.8,129.2,95.6,2
28.76,104.3,140.8,146.3,64.8,0
49.16,131.0,422.3,151.0,78.7,1
70.81,141.9,1261.9,139.1,92.6,2
62.05,122.9,594.9,129.2,86.2,2
46.48,125.1,316.8,145.3,81.5,1
23.48,92.1,185.1,174.8,52.5,0
45.34,163.9,593.5,142.7,89.9,1
50.14,103.7,498.5,135.0,82.5,2
22.07,98.9,150.7,162.1,75.1,0
88.36,227.1,932.2,142.8,99.2,2
25.88,111.1,115.6,138.3,70.5,0
5.0,68.3,84.9,161.8,55.8,0
51.98,168.3,372.5,135.4,86.0,1
29.64,105.7,134.9,149.0,76.4,0
47.82,145.7,716.3,148.1,83.4,1
48.17,156.3,319.6,153.4,73.0,1
95.6,161.3,622.7,139.1,98.5,2
66.95,145.8,559.7,150.3,83.0,1
20.71,100.8,72.1,142.8,73.5,0
66.25,139.9,580.2,136.3,77.3,2
82.18,233.3,1184.9,141.2,96.6,2
76.97,205.0,1212.4,138.0,88.0,2
52.14,146.7,529.2,156.1,73.0,1
89.96,175.6,984.3,142.9,89.6,2
47.21,159.3,633.4,160.5,80.5,1
19.88,69.4,68.8,139.8,73.9,0
46.78,136.2,415.6,152.5,92.7,1
19.74,86.9,117.1,156.6,69.0,0
40.77,153.0,682.4,141.0,77.9,1
20.78,96.9,147.1,155.3,58.9,0
37.11,77.7,111.4,172.0,56.1,0
11.71,88.3,63.0,145.8,57.0,0
56.05,149.9,490.0,146.5,81.4,1
45.25,107.5,599.6,151.5,72.0,1
36.1,163.2,578.7,132.7,78.5,1
58.32,166.2,640.4,143.2,79.7,1
51.07,99.4,486.8,149.0,77.3,2
60.05,139.4,479.1,146.8,77.4,1
66.1,176.8,1619.4,134.6,92.1,2
53.96,107.7,582.8,141.0,81.8,2
27.87,101.4,108.1,146.3,78.6,0
51.39,125.5,528.7,149.0,83.3,1
69.79,196.2,1554.3,142.8,92.9,2
38.7,103.7,137.4,165.7,83.9,1
31.48,84.6,216.4,161.4,82.1,1
19.0,77.9,253.2,174.9,58.9,0
86.38,136.8,1027.4,138.0,96.8,2
24.87,80.1,236.6,142.4,71.5,1
29.34,69.2,158.1,156.6,59.4,1
27.64,68.3,100.5,184.5,75.0,0
67.59,128.3,419.8,153.0,72.0,1
38.64,134.3,397.8,146.4,100.9,1
28.34,106.9,160.5,156.6,61.9,0
74.09,151.8,388.8,149.4,73.6,1
25.9,124.9,133.1,159.2,58.8,0
22.7,138.5,176.0,141.2,60.5,0
25.9,98.9,24.5,169.1,75.7,0
27.03,118.3,564.2,123.9,80.0,1
104.88,256.6,1263.0,131.6,90.0,2
18.68,70.1,189.1,163.6,63.1,0
5.0,95.2,147.3,147.4,81.2,0
66.5,147.0,711.0,148.0,82.7,2
57.46,184.4,1140.3,148.0,94.0,1
89.64,166.0,1184.1,146.7,89.3,2
90.04,218.2,1324.0,138.3,93.1,2
20.52,114.0,120.5,136.2,70.0,0
14.97,60.6,138.8,148.8,79.1,0
51.61,156.3,363.5,143.4,80.0,1
99.83,235.4,1549.1,140.9,96.5,2
62.49,150.2,396.7,156.2,84.9,1
26.21,87.6,171.4,157.2,69.3,0
72.3,144.8,613.0,136.7,82.8,2
43.15,163.3,424.4,136.9,74.7,1
46.75,140.4,608.3,137.7,90.6,1
114.95,207.9,1431.7,130.3,92.6,2
54.37,110.6,392.6,149.8,73.4,1
12.79,102.4,212.7,160.4,70.7,0
31.08,95.2,117.7,144.9,49.3,0
22.34,99.8,117.7,155.7,55.1,0
115.96,180.1,1383.0,140.3,93.9,2
19.34,92.5,219.7,146.9,67.9,0
100.68,159.5,1139.0,137.7,91.2,2
62.38,209.2,899.7,142.8,100.0,1
30.04,97.7,215.5,175.1,73.2,0
124.41,242.6,1642.2,134.6,83.9,2
48.36,149.2,248.0,150.0,86.2,1
54.21,123.7,642.7,154.4,83.9,1
23.72,129.3,150.2,165.1,75.7,0
28.23,69.6,77.6,158.7,61.8,0
76.84,131.6,541.1,157.4,86.0,2
77.36,281.9,924.2,135.8,82.1,1
104.7,242.7,1593.3,134.7,91.1,2
18.54,87.0,205.9,157.6,67.7,0
31.39,102.6,101.7,164.0,59.9,0
100.2,192.2,1498.1,137.2,90.9,2
21.12,85.9,105.2,153.2,52.6,0
11.38,80.7,113.2,165.5,56.9,0
18.91,74.6,72.2,150.4,66.5,0
21.96,96.6,202.9,151.2,49.7,0
53.2,131.0,536.1,146.5,98.9,2
13.59,105.6,99.2,154.8,49.9,0
87.91,186.5,1041.1,150.2,90.1,2
68.55,157.0,450.3,151.4,88.6,1
97.46,181.6,1411.3,137.7,83.6,2
15.1,103.3,449.1,153.3,78.1,0
33.44,121.3,133.6,152.6,62.6,0
99.72,152.3,1112.2,156.8,84.6,2
62.93,176.9,359.9,146.7,72.3,1
17.73,75.7,176.5,150.7,68.0,0
91.56,156.9,1255.1,146.5,88.9,2
56.39,118.9,548.2,148.7,83.6,2
17.18,98.2,131.5,146.6,57.9,0
27.37,97.5,231.2,161.9,63.9,0
40.79,139.2,390.8,137.5,75.3,1
24.44,107.8,245.5,152.9,64.6,0
40.43,126.8,666.6,141.9,82.7,1
