app_name,category,size_mb,rating
SimpleFit109,Photography,197.0,4.43
LiteCam110,Games,14.5,3.93
SmartGame111,Social,16.6,4.46
SimpleNotes112,Social,398.2,3.84
MegaWallet113,Photography,274.4,2.5
LiteLearn114,Entertainment,82.4,2.29
MegaNotes115,Games,96.5,1.97
EasyWallet116,Tools,366.9,3.0
SimpleChat117,Education,389.2,4.25
LiteTasks118,Tools,435.4,3.88
UltraGame119,Communication,215.5,4.42
UltraCam120,Tools,9.1,4.22
EasyFit121,Communication,12.4,4.63
SimpleChat122,Communication,23.3,4.51
EasyLearn123,Finance,18.8,4.22
ProMusic124,Games,335.9,2.38
SmartLearn125,Education,15.1,4.54
DailyTasks126,Finance,250.8,3.55
SmartNotes127,Education,10.4,4.29
ProLearn128,Health,14.0,3.84
QuickGame129,Entertainment,20.1,4.17
DailyTasks130,Games,499.1,4.49
FastTasks131,Social,405.0,4.55
UltraGame132,Productivity,115.4,3.24
LiteGame133,Health,15.4,4.27
FastMusic134,Education,9.3,3.87
MegaGame135,Games,344.6,4.72
FastCam136,Social,87.4,3.2
SimpleWallet137,Entertainment,3.5,4.6
DailyCam138,Tools,6.7,4.28
MegaNotes139,Finance,246.0,2.39
ProGame140,Finance,182.2,4.37
DailyChat141,Productivity,375.3,3.26
LiteWallet142,Photography,267.9,2.84
EasyMusic143,Productivity,196.0,1.84
MegaTasks144,Entertainment,171.2,3.92
DailyPhoto145,Education,126.8,4.14
SmartTasks146,Communication,145.6,3.88
QuickChat147,Social,309.8,3.81
ProMusic148,Health,113.0,2.32
QuickFit149,Entertainment,248.5,2.49
DailyPhoto150,Education,18.2,4.37
MegaWallet151,Finance,13.1,4.41
SmartPhoto152,Education,137.1,1.99
LiteGame153,Photography,442.3,4.45
FastFit154,Tools,10.8,4.22
ProGame155,Productivity,1.6,4.32
SmartPhoto156,Entertainment,341.6,1.98
UltraWallet157,Finance,20.9,4.16
QuickChat158,Communication,217.8,4.54
SmartCam159,Entertainment,396.7,4.19
SmartFit160,Photography,16.5,4.09
UltraMusic161,Games,22.9,4.33
DailyNotes162,Health,126.9,4.18
EasyLearn163,Productivity,7.3,3.63
FastChat164,Social,366.0,3.56
LitePhoto165,Health,133.1,3.75
DailyLearn166,Communication,21.1,4.65
MegaWallet167,Social,206.9,2.54
SmartCam168,Health,186.0,4.0
MegaTasks169,Tools,237.8,4.24
ProChat170,Photography,375.4,3.65
EasyChat171,Communication,24.2,4.28
MegaPhoto172,Education,20.4,4.47
UltraWallet173,Social,403.6,4.88
SimpleMusic174,Health,369.1,3.28
FastNotes175,Social,499.7,4.56
MegaChat176,Entertainment,90.9,2.06
LiteFit177,Communication,318.4,3.13
ProChat178,Communication,20.9,4.43
DailyFit179,Entertainment,235.9,4.04
SmartTasks180,Health,13.9,4.2
ProMusic181,Productivity,213.6,3.12
ProFit182,Games,22.0,4.61
UltraCam183,Education,3.1,4.41
LiteNotes184,Tools,10.6,4.32
MegaChat185,Games,3.7,4.2
SimpleTasks186,Finance,335.6,4.36
FastNotes187,Photography,187.3,4.11
SimpleFit188,Games,11.0,5.0
EasyNotes189,Communication,10.6,4.2
QuickMusic190,Communication,192.3,4.02
EasyFit191,Tools,336.2,2.3
ProChat192,Productivity,338.9,3.61
ProWallet193,Education,161.6,4.26
SimplePhoto194,Finance,113.9,3.41
MegaCam195,Photography,91.3,2.16
SmartWallet196,Photography,212.6,4.12
UltraTasks197,Productivity,17.4,4.43
MegaLearn198,Productivity,292.2,4.62
QuickWallet199,Education,445.8,4.32
SimpleNotes200,Health,290.7,3.01
DailyNotes201,Health,17.8,4.55
SmartGame202,Productivity,451.6,4.28
DailyChat203,Tools,242.4,2.52
ProFit204,Health,146.3,4.12
UltraWallet205,Games,436.0,4.27
EasyTasks206,Social,19.5,4.63
SmartGame207,Communication,118.3,4.54
FastFit208,Health,253.4,4.6
LiteTasks209,Communication,12.2,4.26
LiteChat210,Games,165.4,4.43
QuickLearn211,Photography,209.3,4.55
FastWallet212,Productivity,354.4,1.68
SimpleLearn213,Productivity,1.7,4.23
SmartGame214,Entertainment,231.4,2.77
UltraLearn215,Health,152.5,4.36
QuickGame216,Games,418.6,3.84
EasyWallet217,Photography,190.2,4.18
MegaNotes218,Productivity,20.1,4.27
EasyCam219,Tools,258.2,3.54
SimpleTasks220,Finance,370.5,3.07
EasyWallet221,Games,107.3,4.5
QuickGame222,Health,19.6,4.71
DailyMusic223,Health,4.2,4.43
EasyCam224,Social,144.0,3.3
SimpleChat225,Education,345.2,4.52
DailyGame226,Games,280.1,2.86
ProCam227,Health,413.5,4.66
SimplePhoto228,Health,389.9,4.81
MegaFit229,Photography,12.3,4.72
EasyNotes230,Education,299.3,4.8
FastPhoto231,Communication,288.1,2.82
QuickNotes232,Health,11.0,4.54
LiteGame233,Education,270.2,4.05
SmartGame234,Productivity,305.6,4.06
DailyMusic235,Communication,417.2,4.23
MegaNotes236,Tools,464.9,4.39
DailyMusic237,Productivity,18.2,4.02
MegaFit238,Finance,21.5,3.9
QuickCam239,Finance,138.1,4.18
MegaGame240,Entertainment,21.6,4.41
ProWallet241,Health,194.4,4.17
MegaTasks242,Finance,367.8,4.14
SimpleNotes243,Photography,5.0,4.06
EasyGame244,Productivity,412.7,4.04
UltraGame245,Health,119.4,3.5
UltraTasks246,Tools,3.9,4.62
LiteNotes247,Productivity,375.3,4.17
SimpleFit248,Education,81.6,2.67
EasyGame249,Entertainment,295.5,4.36
DailyLearn250,Productivity,8.4,4.12
EasyNotes251,Social,18.5,4.59
SmartChat252,Tools,16.9,4.38
QuickLearn253,Finance,356.7,2.7
UltraNotes254,Finance,370.6,4.42
SmartWallet255,Finance,16.8,4.06
SimpleGame256,Productivity,397.9,2.43
EasyPhoto257,Social,230.8,4.27
QuickLearn258,Social,360.9,2.99
QuickMusic259,Entertainment,231.4,4.06
QuickPhoto260,Social,252.2,4.97
FastChat261,Finance,15.5,4.73
UltraMusic262,Finance,21.7,3.65
UltraGame263,Entertainment,10.6,5.0
SimpleGame264,Communication,309.8,2.98
EasyPhoto265,Productivity,23.4,4.48
ProLearn266,Health,15.8,5.0
QuickGame267,Health,386.5,4.3
DailyLearn268,Tools,5.3,4.11
LiteGame269,Games,202.6,4.39
DailyWallet270,Social,20.6,4.54
FastCam271,Health,337.4,3.4
QuickMusic272,Photography,9.7,4.45
LiteFit273,Health,18.6,4.48
UltraTasks274,Communication,325.3,2.48
UltraTasks275,Social,231.3,2.04
FastCam276,Finance,16.4,4.69
ProFit277,Photography,495.1,4.97
DailyLearn278,Communication,277.1,4.8
DailyGame279,Education,234.9,4.06
EasyCam280,Entertainment,338.3,3.61
SmartNotes281,Photography,13.5,4.02
FastPhoto282,Social,15.2,4.07
SmartWallet283,Tools,497.7,4.46
FastGame284,Photography,222.8,3.03
SimpleFit285,Health,17.6,3.86
MegaGame286,Communication,11.8,4.18
ProLearn287,Social,155.1,3.22
UltraGame288,Social,376.6,3.21
QuickNotes289,Social,19.9,4.44
SmartCam290,Photography,2.5,4.31
QuickPhoto291,Games,6.7,4.28
UltraGame292,Health,23.6,4.51
EasyChat293,Communication,258.9,4.69
DailyGame294,Finance,313.0,3.95
SmartPhoto295,Productivity,1.5,4.53
EasyTasks296,Games,263.4,2.66
EasyGame297,Communication,155.7,4.45
UltraChat298,Games,344.1,2.2
LiteChat299,Social,24.1,4.51
ProNotes300,Communication,1.4,3.9
SmartLearn301,Finance,6.1,4.78
QuickGame302,Games,168.3,3.93
DailyGame303,Games,340.5,2.32
ProFit304,Social,439.2,4.51
EasyNotes305,Entertainment,314.8,2.94
DailyNotes306,Tools,292.5,4.01
UltraNotes307,Productivity,21.0,4.52
UltraGame308,Entertainment,2.0,3.98
SmartGame309,Productivity,4.1,4.17
UltraMusic310,Tools,250.4,3.89
SimpleCam311,Tools,331.8,1.46
MegaNotes312,Entertainment,104.5,2.76
MegaTasks313,Tools,458.0,4.14
QuickFit314,Photography,13.4,4.54
DailyTasks315,Communication,1.9,4.2
LitePhoto316,Entertainment,1.3,4.0
FastNotes317,Photography,193.5,2.11
SimpleCam318,Productivity,405.7,4.55
LiteGame319,Finance,104.2,3.94
MegaChat320,Social,312.1,3.97
SmartMusic321,Tools,468.1,4.52
FastCam322,Productivity,151.9,2.08
UltraPhoto323,Tools,157.0,1.62
QuickCam324,Productivity,214.4,4.31
MegaLearn325,Entertainment,188.4,4.29
SimpleWallet326,Productivity,2.3,4.74
LiteChat327,Communication,17.4,4.16
QuickLearn328,Communication,9.2,4.84
DailyCam329,Photography,14.6,4.25
FastChat330,Finance,12.1,4.34
DailyChat331,Finance,393.2,3.9
FastWallet332,Tools,13.9,4.76
UltraCam333,Games,19.0,4.42
UltraMusic334,Games,4.6,4.62
FastLearn335,Social,16.4,4.29
UltraMusic336,Social,256.6,4.79
LiteTasks337,Entertainment,5.4,4.17
FastFit338,Games,243.2,2.33
SmartChat339,Communication,341.4,4.31
EasyLearn340,Health,20.8,4.15
ProGame341,Entertainment,415.4,4.2
SimpleWallet342,Tools,194.3,4.0
EasyFit343,Finance,354.5,4.14
ProTasks344,Social,144.9,2.78
ProNotes345,Communication,13.4,4.41
FastNotes346,Games,11.3,4.55
DailyFit347,Productivity,2.9,4.24
SimpleGame348,Education,329.7,2.37
MegaMusic349,Social,105.4,4.08
EasyMusic350,Finance,6.9,4.33
LiteLearn351,Games,100.9,2.78
DailyWallet352,Productivity,324.8,3.74
MegaFit353,Photography,319.3,3.82
FastNotes354,Productivity,11.1,4.67
UltraLearn355,Tools,18.4,4.12
SimpleTasks356,Productivity,488.8,3.63
SimpleFit357,Social,267.2,4.61
EasyTasks358,Tools,309.4,4.1
SmartTasks359,Health,190.5,4.25
SmartPhoto360,Entertainment,23.7,4.53
MegaWallet361,Health,124.9,4.52
UltraGame362,Health,334.1,1.53
EasyLearn363,Education,19.2,4.39
SimpleLearn364,Health,361.5,2.42
SmartCam365,Education,258.6,2.86
EasyFit366,Games,463.7,4.14
ProNotes367,Communication,259.0,5.0
SimpleGame368,Photography,5.5,4.32
MegaChat369,Health,419.2,3.94
ProChat370,Education,323.1,4.33
DailyLearn371,Photography,339.2,3.81
EasyPhoto372,Finance,428.2,4.55
QuickFit373,Photography,241.7,2.29
UltraCam374,Communication,353.9,3.78
SmartMusic375,Photography,387.7,4.11
EasyPhoto376,Finance,187.8,2.84
SimpleNotes377,Education,428.7,4.12
UltraLearn378,Health,431.3,3.85
LiteChat379,Finance,6.8,4.25
EasyTasks380,Photography,176.5,3.8
ProTasks381,Games,350.0,3.61
LiteTasks382,Education,142.5,3.88
ProGame383,Health,2.8,4.55
LiteTasks384,Entertainment,222.1,4.56
SmartPhoto385,Tools,98.9,1.94
EasyGame386,Photography,80.1,2.41
LiteTasks387,Finance,252.2,3.8
LiteFit388,Finance,110.9,4.39
ProGame389,Education,20.9,4.67
QuickLearn390,Games,316.3,4.12
ProCam391,Finance,15.4,4.3
EasyCam392,Education,22.7,4.53
QuickPhoto393,Productivity,2.9,4.67
QuickNotes394,Finance,363.5,3.92
QuickChat395,Education,294.1,2.24
EasyCam396,Communication,88.0,2.34
MegaNotes397,Communication,221.9,2.72
LiteWallet398,Communication,415.5,4.69
SmartFit399,Finance,480.2,4.59
QuickWallet400,Health,353.6,4.16
FastTasks401,Finance,156.4,2.51
LiteLearn402,Tools,12.6,4.54
QuickLearn403,Games,102.2,3.77
FastWallet404,Finance,9.1,4.5
SimpleTasks405,Education,3.1,4.8
ProTasks406,Education,451.9,4.05
MegaNotes407,Tools,264.4,4.22
DailyTasks408,Games,385.6,2.36
QuickGame409,Productivity,145.8,4.25
FastPhoto410,Finance,15.3,4.68
SimpleMusic411,Productivity,293.9,2.66
SimpleCam412,Entertainment,271.6,2.03
UltraChat413,Social,311.7,2.6
ProTasks414,Entertainment,397.2,2.88
UltraTasks415,Finance,117.5,4.52
SmartGame416,Communication,360.9,4.36
EasyMusic417,Productivity,14.0,4.65
DailyLearn418,Health,11.8,4.85
QuickLearn419,Entertainment,1.7,4.54
QuickTasks420,Games,166.3,4.06
SmartPhoto421,Tools,13.4,4.44
MegaWallet422,Tools,21.3,4.77
SmartNotes423,Education,5.0,4.43
EasyNotes424,Health,250.2,1.72
FastNotes425,Communication,117.2,1.87
EasyGame426,Photography,272.9,1.83
SmartWallet427,Photography,14.3,3.95
ProMusic428,Tools,220.9,2.07
UltraFit429,Games,371.0,3.89
SmartGame430,Communication,14.9,4.35
SmartLearn431,Social,315.1,2.05
UltraTasks432,Photography,348.3,4.04
UltraChat433,Social,191.1,3.75
UltraTasks434,Education,448.0,4.31
EasyTasks435,Communication,22.1,4.28
DailyMusic436,Games,492.4,4.59
MegaFit437,Finance,5.9,4.38
ProGame438,Entertainment,18.4,4.37
SimpleLearn439,Games,144.2,3.08
EasyPhoto440,Photography,16.4,4.09
DailyChat441,Social,350.6,3.92
UltraChat442,Finance,389.1,3.93
SimplePhoto443,Communication,6.1,4.52
UltraTasks444,Photography,24.9,4.36
SimpleTasks445,Games,23.5,4.29
LiteWallet446,Communication,141.8,4.74
SmartPhoto447,Social,352.8,3.96
EasyChat448,Productivity,2.8,4.84
SmartFit449,Communication,366.7,4.2
DailyNotes450,Entertainment,377.4,3.01
UltraNotes451,Communication,16.4,4.34
FastGame452,Education,16.5,3.49
SmartChat453,Games,354.8,4.26
DailyLearn454,Productivity,8.0,4.1
SmartChat455,Education,163.4,4.26
QuickMusic456,Health,121.7,3.91
QuickFit457,Education,337.4,4.59
SimpleTasks458,Communication,81.2,3.01
LiteGame459,Productivity,446.6,3.9
ProNotes460,Tools,218.8,2.49
QuickCam461,Education,297.5,4.46
UltraTasks462,Education,155.6,4.39
SimpleCam463,Photography,384.2,2.42
SimplePhoto464,Productivity,353.7,3.35
SimpleFit465,Finance,408.3,4.19
SimpleCam466,Social,14.2,4.89
QuickGame467,Entertainment,452.1,3.98
SmartPhoto468,Social,218.1,4.33
MegaWallet469,Social,258.1,3.88
QuickWallet470,Social,134.1,4.24
UltraMusic471,Photography,207.0,4.09
ProCam472,Communication,348.2,2.69
EasyGame473,Education,312.4,4.23
QuickGame474,Entertainment,451.1,4.16
MegaMusic475,Social,327.3,2.36
EasyFit476,Photography,19.5,4.33
DailyGame477,Finance,18.7,4.46
DailyGame478,Communication,1.0,4.7
QuickFit479,Finance,22.6,3.99
SmartFit480,Health,6.0,4.49
DailyNotes481,Education,496.1,4.25
DailyMusic482,Finance,254.2,1.97
ProNotes483,Education,412.5,3.98
QuickGame484,Social,255.3,3.79
SimpleChat485,Health,12.3,4.65
EasyTasks486,Productivity,1.2,4.15
FastNotes487,Photography,19.3,5.0
ProWallet488,Education,471.5,4.3
QuickTasks489,Productivity,2.2,4.87
SimpleChat490,Communication,157.4,1.8
SmartMusic491,Social,6.1,4.54
SmartChat492,Entertainment,20.0,4.41
LiteTasks493,Entertainment,21.5,4.57
SimpleNotes494,Health,387.3,2.88
FastNotes495,Education,200.6,2.81
EasyNotes496,Finance,136.9,3.29
FastGame497,Finance,457.9,4.22
SimpleFit498,Tools,24.8,4.4
ProPhoto499,Tools,136.3,4.42
SmartGame500,Tools,210.2,4.64
LiteGame501,Entertainment,5.6,3.83
SimpleGame502,Photography,188.3,4.27
UltraPhoto503,Health,325.3,4.13
FastLearn504,Photography,126.0,3.04
FastGame505,Productivity,412.1,4.15
DailyCam506,Games,15.2,4.23
QuickPhoto507,Education,22.1,4.09
MegaMusic508,Games,95.2,3.05
DailyNotes509,Education,22.0,4.62
SimpleCam510,Finance,23.3,4.69
SimpleMusic511,Education,9.7,3.74
ProWallet512,Games,8.3,4.09
LiteCam513,Photography,151.8,2.23
SimpleWallet514,Games,275.1,2.17
UltraWallet515,Photography,321.4,2.14
SmartCam516,Tools,10.1,4.85
SimpleTasks517,Games,93.6,2.35
QuickTasks518,Finance,282.3,2.69
MegaChat519,Education,24.3,4.08
FastFit520,Finance,3.4,4.32
SimpleWallet521,Social,20.4,4.47
DailyTasks522,Tools,162.9,4.31
LiteChat523,Tools,4.9,4.27
LiteLearn524,Communication,21.1,4.38
MegaPhoto525,Photography,313.7,4.36
ProPhoto526,Health,387.4,4.12
DailyChat527,Education,296.7,2.73
DailyPhoto528,Productivity,240.5,2.5
SmartGame529,Education,369.9,2.36
QuickWallet530,Tools,14.2,4.1
UltraWallet531,Education,451.2,3.81
UltraChat532,Entertainment,171.4,3.51
EasyFit533,Entertainment,285.4,2.27
MegaChat534,Health,11.0,4.28
FastTasks535,Productivity,83.7,2.73
FastGame536,Finance,116.3,3.36
DailyPhoto537,Health,13.5,4.22
EasyWallet538,Health,396.1,4.48
EasyGame539,Finance,130.8,4.94
UltraChat540,Social,15.4,4.85
FastCam541,Tools,160.3,3.22
SmartGame542,Tools,333.4,3.62
UltraWallet543,Communication,11.8,4.45
SimpleTasks544,Tools,144.8,3.43
SimpleGame545,Communication,23.5,4.62
EasyWallet546,Tools,207.7,2.41
SmartPhoto547,Games,397.1,4.35
SimpleMusic548,Communication,465.8,3.64
SimpleCam549,Health,345.3,4.05
LiteTasks550,Finance,181.6,4.57
SmartLearn551,Productivity,2.9,4.55
DailyMusic552,Productivity,342.7,4.0
MegaPhoto553,Health,343.4,2.72
EasyCam554,Entertainment,201.3,4.06
EasyNotes555,Finance,9.8,4.84
EasyMusic556,Education,19.9,4.7
UltraChat557,Productivity,359.7,4.12
EasyFit558,Social,414.0,3.75
QuickFit559,Communication,6.0,4.53
UltraTasks560,Health,362.1,3.96
ProGame561,Communication,319.0,2.35
MegaMusic562,Entertainment,7.9,4.07
FastGame563,Education,18.8,4.15
FastMusic564,Entertainment,178.5,2.03
SimpleWallet565,Communication,8.6,3.99
DailyTasks566,Entertainment,191.6,3.32
EasyCam567,Photography,265.8,4.24
QuickFit568,Education,388.8,4.12
SmartWallet569,Social,250.2,1.4
ProGame570,Productivity,1.5,4.19
DailyFit571,Social,343.1,3.76
SimpleTasks572,Tools,9.1,4.53
FastTasks573,Productivity,378.6,4.74
QuickNotes574,Entertainment,14.1,4.29
DailyNotes575,Health,17.6,4.42
QuickTasks576,Finance,145.4,1.26
UltraMusic577,Finance,263.2,4.29
EasyCam578,Communication,378.9,4.12
DailyPhoto579,Communication,7.9,4.89
SimpleLearn580,Productivity,362.4,2.2
MegaWallet581,Social,145.1,2.57
SmartWallet582,Games,14.0,4.22
ProPhoto583,Communication,258.9,2.71
LiteMusic584,Productivity,9.9,4.34
SmartLearn585,Finance,293.6,3.98
DailyMusic586,Games,270.4,4.62
DailyCam587,Social,17.1,5.0
FastGame588,Health,463.3,4.39
FastMusic589,Social,353.0,4.7
SmartMusic590,Tools,15.1,4.52
ProMusic591,Entertainment,153.5,3.77
ProWallet592,Communication,418.5,4.52
UltraMusic593,Games,229.8,3.82
DailyFit594,Social,100.2,2.91
LiteTasks595,Education,327.6,2.86
MegaChat596,Social,7.2,4.5
MegaLearn597,Entertainment,180.4,3.65
EasyWallet598,Games,344.1,2.37
FastPhoto599,Communication,378.7,2.92
UltraPhoto600,Social,221.6,4.26
UltraPhoto601,Social,225.1,4.18
DailyMusic602,Communication,19.3,4.8
FastPhoto603,Finance,212.7,2.91
SimpleGame604,Communication,16.3,4.67
SmartFit605,Photography,201.3,3.18
EasyTasks606,Health,287.7,4.09
SmartFit607,Social,337.3,3.17
SimpleCam608,Finance,23.6,4.4
QuickFit609,Games,14.3,4.02
QuickChat610,Games,181.7,4.23
MegaWallet611,Games,110.0,4.01
SmartNotes612,Tools,251.5,1.34
FastLearn613,Education,23.1,4.31
DailyFit614,Education,381.1,4.27
MegaCam615,Communication,18.7,4.62
SimpleLearn616,Photography,6.2,4.66
DailyNotes617,Entertainment,9.0,4.88
SmartChat618,Entertainment,17.1,4.3
LiteChat619,Social,6.5,4.6
UltraCam620,Education,103.9,3.22
DailyLearn621,Education,1.2,3.64
LiteGame622,Photography,1.5,4.27
SmartWallet623,Education,22.6,4.73
UltraWallet624,Health,3.0,3.82
ProFit625,Tools,157.6,4.15
UltraLearn626,Productivity,493.7,4.74
SmartPhoto627,Education,390.0,3.94
MegaGame628,Health,179.7,4.73
SimpleWallet629,Communication,12.7,4.51
DailyGame630,Finance,146.8,4.09
QuickTasks631,Photography,461.3,4.28
EasyGame632,Entertainment,394.5,4.58
EasyWallet633,Education,317.3,2.62
SmartWallet634,Social,7.7,4.22
SimpleWallet635,Communication,262.8,2.33
UltraGame636,Finance,366.1,3.22
UltraMusic637,Games,7.1,4.14
QuickWallet638,Games,7.3,4.56
QuickLearn639,Health,240.5,4.63
FastFit640,Photography,23.8,4.44
DailyChat641,Social,404.2,4.4
UltraNotes642,Entertainment,338.8,4.61
SimpleGame643,Health,190.7,4.07
SimpleGame644,Finance,119.5,1.89
ProChat645,Finance,131.4,3.01
MegaLearn646,Tools,12.2,4.44
ProFit647,Tools,179.9,4.23
MegaWallet648,Social,14.4,4.46
ProWallet649,Education,1.5,4.46
ProChat650,Education,155.0,2.5
QuickWallet651,Communication,165.0,2.57
LiteGame652,Social,8.1,4.81
FastGame653,Health,7.8,4.9
MegaLearn654,Tools,382.5,3.82
QuickLearn655,Education,24.8,4.02
MegaFit656,Finance,23.3,4.5
MegaWallet657,Health,140.6,2.03
MegaNotes658,Communication,287.2,2.2
ProCam659,Photography,97.8,2.32
DailyGame660,Entertainment,18.2,4.28
EasyCam661,Productivity,3.6,4.69
EasyNotes662,Tools,9.2,4.77
FastMusic663,Games,17.4,4.32
EasyTasks664,Entertainment,352.9,3.57
ProWallet665,Education,472.6,4.68
QuickLearn666,Entertainment,459.4,3.62
FastNotes667,Entertainment,19.7,4.11
SmartTasks668,Education,3.2,3.97
DailyMusic669,Education,16.8,4.53
DailyGame670,Finance,23.5,3.83
MegaNotes671,Tools,283.2,3.9
QuickWallet672,Social,14.9,4.72
QuickTasks673,Social,334.1,2.36
EasyPhoto674,Education,3.0,3.94
QuickNotes675,Education,343.6,1.18
SimpleChat676,Health,118.0,2.7
EasyWallet677,Productivity,179.8,2.82
DailyPhoto678,Communication,259.9,2.43
LitePhoto679,Health,9.5,4.45
SmartTasks680,Communication,340.7,1.82
FastNotes681,Games,10.9,4.81
SmartPhoto682,Social,111.7,4.23
SimpleFit683,Productivity,24.2,3.94
SimplePhoto684,Health,379.0,2.71
UltraFit685,Productivity,2.0,4.61
FastGame686,Entertainment,126.9,2.68
MegaMusic687,Finance,273.5,4.64
ProMusic688,Tools,14.8,4.33
QuickCam689,Communication,229.7,4.17
FastPhoto690,Finance,17.1,4.8
QuickChat691,Tools,363.8,4.03
DailyCam692,Productivity,5.8,4.37
SimpleMusic693,Health,11.0,3.59
SmartMusic694,Communication,10.4,4.71
EasyFit695,Entertainment,20.9,4.9
ProNotes696,Health,7.7,4.35
FastGame697,Entertainment,330.1,2.59
MegaFit698,Entertainment,2.5,5.0
QuickTasks699,Education,120.2,4.66
UltraFit700,Health,3.1,4.44
UltraPhoto701,Games,448.3,4.02
UltraFit702,Games,321.1,3.97
LiteChat703,Social,393.6,3.98
ProFit704,Productivity,5.1,4.49
LiteWallet705,Games,16.4,4.76
EasyGame706,Finance,175.1,2.37
SmartChat707,Photography,14.1,3.97
SmartMusic708,Finance,18.7,4.82
ProMusic709,Communication,24.7,4.06
SmartGame710,Health,446.4,4.1
QuickFit711,Photography,232.1,3.56
QuickTasks712,Tools,211.6,4.39
DailyChat713,Health,412.4,5.0
ProMusic714,Tools,112.9,3.05
SmartWallet715,Games,325.1,2.83
MegaTasks716,Education,19.4,4.62
UltraWallet717,Social,187.5,3.84
MegaCam718,Health,17.8,4.51
